Nama SGB,Alamat,Jumlah Slot,Timestamp
SPBKLU Yantek Kampung Melayu,Jl. Raya Kampung Melayu Kec. Teluk Naga Kab. Tangerang ,12,2025-06-06 22:00:59
Alfamart Sentraland,"Jl. Mataram Raya No.8, Blok H9 Sentraland Boulevard, Parung Panjang, Kec. Parung Panjang, Kabupaten Bogor, Jawa Barat 16360",12,2025-06-06 22:07:53
Alfamart Kalirungkut ( Surabaya ),"JL. NGAGEL JAYA NO 7, SURABAYA",12,2025-06-06 21:25:24
Alfamart Pertigaan Jaha,"Jl. Raya Jatake No.78, RT 01 RW 03, Caringin, Kec. Legok, Kabupaten Tangerang, Banten 15820",12,2025-06-06 22:06:53
Alfamart Danau Indah,"Jl. Danau Indah 1 Kel No.54, RT.6/RW.13, Sunter Jaya, Kec. Tj. Priok, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350",12,2025-06-06 21:44:04
Alfamart Nagrak Kotabumi,"Jl. M Toha Km 6, RT.02 RW.05, Periuk, Kec. Periuk, Kota Tangerang, Banten 15131",12,2025-06-06 22:03:51
Alfamart Duren Tiga 2,"Jl. Duren Tiga Raya No.88, RT.2/RW.001, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",12,2025-06-06 21:28:42
Alfamart JL B Teluk Gong,"Jl. B Raya Teluk Gong No.181, Pejagalan, Kec. Penjaringan,  Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14450
",12,2025-06-06 21:29:53
BC Semolis Bali,"Jl. Campuhan I - Dewi Sri No.9, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",12,2025-06-06 21:22:38
Alfamart Raya Karadenan,"Jl. Raya Karadenan No.10, RT.01/RW.04, Karadenan, Kec. Cibinong, Kabupaten Bogor, Jawa Barat 16913",12,2025-06-06 22:10:31
Alfamart Hasyim Ashari 6,"Jl. KH Hasyim Ashari No.Kel, RT.001/RW.004, Buaran Indah, Kec. Pinang, Kota Tangerang, Banten 15119",12,2025-06-06 21:55:51
Alfamart Raya Tengger Benowo ( Surabaya ),Jl. Menganti D. Kramat no 21.Surabaya,12,2025-06-06 21:27:02
Alfamart Abdul Karim ( Surabaya ),"Jl. Kyai Abdul Karim No. 67, Rungkut Menanggal, Kec. Gunung Anyar, Surabaya, Jawa Timur 60293",12,2025-06-06 21:25:34
SPBKLU ULP Cikarang Kota,"Jl. Kemang Raya Ruko Trivium Square Lippo Cikarang No. 29, Sukaresmi, Cikarang, Kabupaten Bekasi, Jawa Barat 17530 ",12,2025-06-06 22:09:31
Alfamart Bilabong (24 Jam),"JL. Raya Bilabong Permai Blok F1 No.21,RT. 002 RW. 05, Cimanggis, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat 16920",12,2025-06-06 22:09:10
Alfamidi Amara Kemang Timur (24 Jam),"Jl. Kemang Timur, RT. 14, RW.3, Pejaten Barat, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",12,2025-06-06 21:33:57
Toko SRC Ayu Kalideres,"Jl. Gaga No 15 RT 8/3 Semanan, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11850",12,2025-06-06 21:47:14
Alfamart Untung Suropati 2,"Jl. Untung Suropati, Mekarmukti, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530
",12,2025-06-06 22:11:16
Alfamart Menganti Karangan Surabaya,Jl Menganti Karangan Surabaya,12,2025-06-06 21:27:12
SPBU Klender,"Jl. Bekasi Timur Raya No.Km. 17, Jatinegara Kaum, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13250",12,2025-06-06 21:29:28
SPBKLU PLN ULP Kopo,"Jl. Holis No.312, Caringin, Kec. Bandung Kulon, Kota Bandung",8,2025-06-06 21:45:39
Alfamart Taman Margasatwa,"Jl. Taman Margasatwa Raya No.9A, RT.6/RW.1, Ragunan, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540",12,2025-06-06 21:39:31
SPBKLU PLN UP3 Pondok Gede,"Jl. Suci No.1, RT.10/RW.4, Kel. Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750",12,2025-06-06 21:49:55
Minimart CG38 Bali,"Jl. Raya Padonan No.26a, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 8036111450",12,2025-06-06 21:21:16
Alfamart Peternakan,"Jl. Peternakan Raya No. 5 RT.6/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",12,2025-06-06 21:29:32
Alfamidi Kebayoran Lama 3 (24 Jam),"JL. KEBAYORAN LAMA III RT. 006 RW. 01, SUKABUMI UTARA-KEBON JERUK, JAKARTA BARAT",12,2025-06-06 22:04:03
Alfamart Flamboyan,"Jl. Flamboyan No.32, RT.003/RW.001, Jatimakmur, Kec. Pondok Gede, Kota Bekasi, Jawa Barat 17413",12,2025-06-06 21:53:45
SPBKLU UP3 Jatinegara,"Jl. Jatinegara Timur No.75 10, RT.10/RW.2, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310 ",12,2025-06-06 21:53:00
Alfamart Ahmad Dahlan,"Jl. A. Damyati No.12, RT.001/RW.010, Sukasari, Kec. Tangerang, Kota Tangerang, Banten 15111",12,2025-06-06 21:58:27
SPBKLU UP3 Bulungan,"Jl. Sisingamangaraja No.1 2, RT.2/RW.8, Kebayoran Baru, Jakarta Selatan",8,2025-06-06 22:04:59
Alfamart Kapuk Raya 4,"Jl Kapuk Ry No.8, Kel No.12, RT.3/RW.12, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720
",12,2025-06-06 21:35:37
Alfamart Dukuh Kupang Barat,"JL. dukuh kupang barat,kel dukuh dukuh barat XXXII,dukuh kupang kota sbya",12,2025-06-06 21:25:59
PLN UP3 Serpong,"Jl Raya Serpong BSD Sektor 8, Lengkong Gudang, Serpong, Kota Tangerang Selatan Banten 15310",12,2025-06-06 21:58:02
SPBKLU PLN Ex AP2D Cikokol,"Jl. Perum Griya Asri Blk. B3 No.14 Rt 055/007, Jelupang, Kec. Serpong, Kota Tangerang Selatan, Banten 15310",8,2025-06-06 21:57:02
Alfamart Joglo Taman Alfa (24 Jam),"Jl. Joglo Raya No.33A, RT.12/RW.3, Joglo, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640",12,2025-06-06 21:33:32
Volta Makassar,"Jl. H. Bau No.40, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90113",12,2025-06-06 21:18:42
Minimart CG56 Bali,"Jl. Raya Canggu No.99A, Pererenan, Kec. Mengwi, Kabupaten Badung, Bali 80361
",12,2025-06-06 21:21:48
SPBKLU PLN UP3 Bandung,"Jl. Soekarno Hatta No.436, Ciseureuh, Kec. Regol, Kota Bandung",8,2025-06-06 21:43:19
Sentral Cargo Bandung Kopo,"Jl. Taman Kopo III Blok E, No 47, Mekar Rahayu, Marga Asih, Kab. Bandung",12,2025-06-06 21:52:40
Alfamart Dewi Sartika 120,"Jl. Dewi Sartika No.136 D, RT.5/RW.2, Cawang, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13630",12,2025-06-06 21:29:17
Alfamart Tamalate Mapala (Makassar),"Jl. Tamalate No.265, Kassi-Kassi, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",12,2025-06-06 21:18:22
Alfamart Sunter Jaya (24 Jam),"jl. sunter kemayoran, no 1a-1b, rt.02 rw.03 kelurahan sunter jaya, kecamatan tanjung priok Jakarta Utara",12,2025-06-06 21:46:24
Alfamart Raya Pasir Putih,Jl Raya Pasir Putih Kel Bedahan Kec Sawangan Kota Depok Jawa Barat,12,2025-06-06 22:03:26
Alfamart Cisauk 3 (24 Jam),"Jl. Raya Cisauk, Sampora, Kec. Cisauk, Kabupaten Tangerang, Banten 15338",12,2025-06-06 22:03:36
Alfamart Cimuning 2,"Jl. Bantar Gebang Setu No.41, RT.002/RW.007, Cimuning, Kec. Mustika Jaya, Kota Bekasi, Jawa Barat 17155",12,2025-06-06 21:45:32
Alfamart Muara Karang Raya (24 Jam),Jl. Muara karang raya A7U no.199 kel. Pluit kec. Penjaringan..jakarta utara,12,2025-06-06 21:34:30
TGM Jakarta Selatan,"Jl. RS. Fatmawati No. 53 A Rt. 2/2 kel. Gandaria Selatan, Kec. Cilandak, Jakarta Selatan 12420",12,2025-06-06 21:34:45
Alfamart Gatot Subroto Barat (Bali),"Jl. Gatot Subroto Barat No.121X, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111",8,2025-06-06 21:20:50
Alfamart Caman Raya,"Jl. Caman Raya No.34, RT.007 RW.001, Jatibening, Kec. Pondok Gede, Kota Bekasi, Jawa Barat 17412",12,2025-06-06 21:46:29
Alfamart Dewi Sri ( Bali ),"Jl. Dewi Sri No.18c, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",12,2025-06-06 21:22:28
Alfamart Pemogan ( Bali ),"Jl. Raya Pemogan No.246, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 80221",12,2025-06-06 21:21:58
SPBKLU PLN ULP Cimanggis,"Jl. Raya Bogor No.18 7, RT.7/RW.5, Cisalak Ps., Kec. Cimanggis, Kota Depok",8,2025-06-06 21:57:42
Alfamart Raya Manukan Tama ( Surabaya ),"JL Manukan Tama No 171, Lontar, Sambikerep, Lakarsantri, Surabaya",12,2025-06-06 21:26:15
Alfamart Kedinding ( Surabaya ),"Jl. Kedinding Lor Kel No.98, Tanah Kali Kedinding, Kec. Kenjeran, Surabaya, Jawa Timur 60129",12,2025-06-06 21:23:31
Alfamart Pedati,"Jl. Pedati Raya No.17-12, RT.14/RW.9, Cipinang Cempedak, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340",12,2025-06-06 21:54:00
Alfamart Daan Mogot 2,"Jl. Suci No.1, RT.10/RW.4, Kel. Susukan, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13750",12,2025-06-06 21:50:56
Agapindo Cikarang (24 jam),"Jl. Kemang Raya Ruko Trivium Square Lippo Cikarang No. 29, Sukaresmi, Cikarang, Kabupaten Bekasi, Jawa Barat 17530 ",12,2025-06-06 22:10:26
